Property
http://www.gra.fo/publication/handled_byc
http://www.gra.fo/publication/confName
http://www.gra.fo/publication/confPublisher
http://www.gra.fo/publication/handled_byj
http://www.gra.fo/publication/jourName
http://www.gra.fo/publication/journalPublisher

