author,title
http://www.gra.fo/publication/Giuseppe_Castagna,A Meta-Language for Typed Object-Oriented Languages.
http://www.gra.fo/publication/Philip_S__Yu,Modelling of Centralized Concurrency Control in a Multi-System Environment.
http://www.gra.fo/publication/Torsten_Grabs,High-level Parallelism in a Database Cluster: A Feasibility Study Using Document Services.
http://www.gra.fo/publication/Randy_H__Katz,An Access Path Model for Physical Database Design.
http://www.gra.fo/publication/Eljas_Soisalon_Soininen,Partial Strictness in Two-Phase Locking.
http://www.gra.fo/publication/Lilian_Harada,Dynamic Join Product Skew Handling for Hash-Joins in Shared-Nothing Database Systems.
http://www.gra.fo/publication/Christopher_R__Palmer,Density Biased Sampling: An Improved Method for Data Mining and Clustering.
http://www.gra.fo/publication/Marian_H__Nodine,Cooperative Transaction Hierarchies: A Transaction Model to Support Design Applications.
http://www.gra.fo/publication/Clifford_Grossner,Exploring the Structure of Rule Based Systems.
http://www.gra.fo/publication/Zhexue_Huang,A Fast Clustering Algorithm to Cluster Very Large Categorical Data Sets in Data Mining.
http://www.gra.fo/publication/Hector_Garcia_Molina,Safeguarding and Charging for Information on the Internet.
http://www.gra.fo/publication/,"""Addendum to """"On Satisfiability"
http://www.gra.fo/publication/,"""On Satisfiability"
http://www.gra.fo/publication/Tomas_Dolezal,Cardinality Constraints for n-ary Relationship Types.
http://www.gra.fo/publication/E__Nahouraii,An Approach to Data Communication between Different Generalized Data Base Management Systems.
http://www.gra.fo/publication/Marianne_Winslett,A Model-Theoretic Approach to Updating Logical Databases.
http://www.gra.fo/publication/Suad_Alagic,Joins as Pullbacks.
http://www.gra.fo/publication/Theodore_Johnson,Fast Computation of 2-Dimensional Depth Contours.
http://www.gra.fo/publication/G__D__Anderson,An Integrated Research Support System for Inter-Package Communication and Handling Large Volume Output From Statistical Database Analysis Operations.
http://www.gra.fo/publication/Antonio_L__Furtado,Operational Characterization of Genre in Literary and Real-life Domains.
http://www.gra.fo/publication/Antonio_L__Furtado,Plan and Schedule Generation over Temporal Databases.
http://www.gra.fo/publication/Dana_E__Madison,An Expert System Interface and Data Requirements for the Integrated Product Design and Manufacturing Process.
http://www.gra.fo/publication/Li_Fan,Summary Cache: A Scalable Wide-Area Web Cache Sharing Protocol.
http://www.gra.fo/publication/Jürgen_Koenemann,A Case for Interaction: A Study of Interactive Information Retrieval Behavior and Effectiveness.
http://www.gra.fo/publication/Alexandros_Biliris,A High Performance Configurable Storage Manager.
http://www.gra.fo/publication/Luis_Gravano,Generalizing GlOSS to Vector-Space Databases and Broker Hierarchies.
http://www.gra.fo/publication/Luis_Gravano,Merging Ranks from Heterogeneous Internet Sources.
http://www.gra.fo/publication/STOC,"""Local Reorientation"
http://www.gra.fo/publication/George_Loizou,A Query Algebra for an Extended Object-Oriented Database Model.
http://www.gra.fo/publication/Paul_F__Dietz,Two Algorithms for Maintaining Order in a List
http://www.gra.fo/publication/Yasuaki_Nakamura,Spatio-Temporal Data Management for Moving Objects Using the PMD-Tree.
http://www.gra.fo/publication/Shamkant_B__Navathe,Modeling Physical Systems by Complex Structural Objects and Complex Functional Objects.
http://www.gra.fo/publication/Foto_N__Afrati,Linear vs Polynomial Constraints in Database Query Languages.
http://www.gra.fo/publication/Yannis_Papakonstantinou,Object Fusion in Mediator Systems.
http://www.gra.fo/publication/Joachim_W__Schmidt,"""Design"
http://www.gra.fo/publication/_Databases_and_Conceptual_Modelling_,"""Design"
http://www.gra.fo/publication/Joachim_W__Schmidt,Some High-level Language Constructs for Data of Type Relation (Abstract).
http://www.gra.fo/publication/_Databases_and_Conceptual_Modelling_,Some High-level Language Constructs for Data of Type Relation (Abstract).
http://www.gra.fo/publication/Kurt_P__Brown,Managing Memory to Meet Multiclass Workload Response Time Goals.
http://www.gra.fo/publication/Christian_Esculier,Non-Monotonic Knowledge Evolution in VLKDBs.
http://www.gra.fo/publication/Dirk_Jonscher,An Approach for Building Secure Database Federations.
http://www.gra.fo/publication/Ronald_G__Ross,Expressing Business Rules.
http://www.gra.fo/publication/Bernhard_Nebel,Belief Revision and Default Reasoning: Syntax-Based Approaches.
http://www.gra.fo/publication/Bernhard_Nebel,A Knowledge Level Analysis of Belief Revision.
