IRI,first_name,last_name
http://www.gra.fo/publication/Brad_Adelberg,Brad,Adelberg
http://www.gra.fo/publication/Leszek_Pacholski,Leszek,Pacholski
http://www.gra.fo/publication/Alfred_G__Dale,Alfred G.,Dale
http://www.gra.fo/publication/Shin_ichi_Hirose,Shin'ichi,Hirose
http://www.gra.fo/publication/Diana_Shak,Diana,Shak
http://www.gra.fo/publication/N__A__Brans,N. A.,Brans
http://www.gra.fo/publication/Rowena_Loverance,Rowena,Loverance
http://www.gra.fo/publication/Christian_Hidber,Christian,Hidber
http://www.gra.fo/publication/Bernhard_Westfechtel,Bernhard,Westfechtel
http://www.gra.fo/publication/Oscar_Firschein,Oscar,Firschein
http://www.gra.fo/publication/Rosita_Wachenchauzer,Rosita,Wachenchauzer
http://www.gra.fo/publication/Joann_J__Ordille,Joann J.,Ordille
http://www.gra.fo/publication/Martin_Schneider_____,Martin Schneider,0006
http://www.gra.fo/publication/Nancy_A__Botten,Nancy A.,Botten
http://www.gra.fo/publication/Kirk_Wylie,Kirk,Wylie
http://www.gra.fo/publication/Bernard_Battaglin,Bernard,Battaglin
http://www.gra.fo/publication/Timothy_P__Mann,Timothy P.,Mann
http://www.gra.fo/publication/Jens_Peter_Dittrich,Jens-Peter,Dittrich
http://www.gra.fo/publication/Bonnie_K__MacKellar,Bonnie K.,MacKellar
http://www.gra.fo/publication/Paul_J__M__Havinga,Paul J. M.,Havinga
http://www.gra.fo/publication/Alois_Strnad,Alois,Strnad
http://www.gra.fo/publication/Dinkar_Sitaram,Dinkar,Sitaram
http://www.gra.fo/publication/Robert_Demolombe,Robert,Demolombe
http://www.gra.fo/publication/Hiroyuki_Kato,Hiroyuki,Kato
http://www.gra.fo/publication/Gary_G__Hendrix,Gary G.,Hendrix
http://www.gra.fo/publication/Hitomi_Ohkawa,Hitomi,Ohkawa
http://www.gra.fo/publication/Robert_H__Kuhn,Robert H.,Kuhn
http://www.gra.fo/publication/Shmuel_T__Klein,Shmuel T.,Klein
http://www.gra.fo/publication/Francesca_Arcelli_Fontana,Francesca Arcelli,Fontana
http://www.gra.fo/publication/Reinhard_Schauer,Reinhard,Schauer
http://www.gra.fo/publication/Roman_Ginis,Roman,Ginis
http://www.gra.fo/publication/Giuseppe_Longo,Giuseppe,Longo
http://www.gra.fo/publication/A__A__Kaposi,A.,Kaposi
http://www.gra.fo/publication/Richard_W__Selby,Richard W.,Selby
http://www.gra.fo/publication/Frank_Zdybel,Frank,Zdybel
http://www.gra.fo/publication/William_A__Andersen,William A.,Andersen
http://www.gra.fo/publication/Sundeep_Prakash,Sundeep,Prakash
http://www.gra.fo/publication/Sung_Geun_Han,Sung-Geun,Han
http://www.gra.fo/publication/Bertil_Askelid,Bertil,Askelid
http://www.gra.fo/publication/Anthony_C__Bloesch,Anthony C.,Bloesch
http://www.gra.fo/publication/Markus_Kradolfer,Markus,Kradolfer
http://www.gra.fo/publication/T__C__Ting,T. C.,Ting
http://www.gra.fo/publication/Fulvio_Villanelli,Fulvio,Villanelli
http://www.gra.fo/publication/Frank_M__Pittelli,Frank M.,Pittelli
http://www.gra.fo/publication/Jan_L__G__Dietz,Jan L. G.,Dietz
http://www.gra.fo/publication/Christopher_A__Marsh,Christopher A.,Marsh
http://www.gra.fo/publication/Frans_Van_Assche,Frans Van,Assche
http://www.gra.fo/publication/Ching_Ming_Chao,Ching-Ming,Chao
http://www.gra.fo/publication/Dan_Hoey,Dan,Hoey
http://www.gra.fo/publication/Volkert_Brosda,Volkert,Brosda
http://www.gra.fo/publication/Richard_T__Shann,Richard T.,Shann
http://www.gra.fo/publication/Hideyuki_Nakashima,Hideyuki,Nakashima
http://www.gra.fo/publication/R__D__Harrison,R. D.,Harrison
http://www.gra.fo/publication/Øystein_Torbjørnsen,Øystein,Torbjørnsen
http://www.gra.fo/publication/Christian_Richard,Christian,Richard
http://www.gra.fo/publication/Esko_Ukkonen,Esko,Ukkonen
http://www.gra.fo/publication/Gary_J__Nut,Gary J.,Nut
http://www.gra.fo/publication/Jean_François_Vilarem,Jean-François,Vilarem
http://www.gra.fo/publication/F__L__Walker,F. L.,Walker
http://www.gra.fo/publication/Joel_R__Remde,Joel R.,Remde
http://www.gra.fo/publication/Daniel_C__Swinehart,Daniel C.,Swinehart
http://www.gra.fo/publication/Chuan_lin_Wu,Chuan-lin,Wu
http://www.gra.fo/publication/Alexander_L__Wolf,Alexander L.,Wolf
http://www.gra.fo/publication/Gerard_Ellis,Gerard,Ellis
http://www.gra.fo/publication/Laxmi_N__Bhuyan,Laxmi N.,Bhuyan
http://www.gra.fo/publication/J__Tenner,J.,Tenner
http://www.gra.fo/publication/Heike_Wehrheim,Heike,Wehrheim
http://www.gra.fo/publication/Brian_D__Davison_____,Brian D. Davison,0001
http://www.gra.fo/publication/Helge_Schütt,Helge,Schütt
http://www.gra.fo/publication/Mark_Graves,Mark,Graves
http://www.gra.fo/publication/William_R__Tuthill,William R.,Tuthill
http://www.gra.fo/publication/Robert_J__T__Morris,Robert J. T.,Morris
http://www.gra.fo/publication/Dirk_Wodtke,Dirk,Wodtke
http://www.gra.fo/publication/Thomas_Lee,Thomas,Lee
http://www.gra.fo/publication/Enrico_Giunchiglia,Enrico,Giunchiglia
http://www.gra.fo/publication/Shankar_Pal,Shankar,Pal
http://www.gra.fo/publication/Saburo_Muroga,Saburo,Muroga
http://www.gra.fo/publication/Khoa_Doan,Khoa,Doan
http://www.gra.fo/publication/Marc_San_Soucie,Marc San,Soucie
http://www.gra.fo/publication/Eric_G__Wagner,Eric G.,Wagner
http://www.gra.fo/publication/Yihong_Gong,Yihong,Gong
http://www.gra.fo/publication/M__Rajinikanth,M.,Rajinikanth
http://www.gra.fo/publication/Dieter_Roller_____,Dieter Roller,0001
http://www.gra.fo/publication/Kenneth_P__Birman,Kenneth P.,Birman
http://www.gra.fo/publication/R__Radhakrishna_Pillai,R. Radhakrishna,Pillai
http://www.gra.fo/publication/Donald_L__Iglehart,Donald L.,Iglehart
http://www.gra.fo/publication/Thomas_P__Neuendorffer,Thomas P.,Neuendorffer
http://www.gra.fo/publication/Susanne_Prediger,Susanne,Prediger
http://www.gra.fo/publication/Shinsei_Shige_eda,Shinsei,Shige-eda
http://www.gra.fo/publication/Bernard_Lint,Bernard,Lint
http://www.gra.fo/publication/Michael_F__Kilian,Michael F.,Kilian
http://www.gra.fo/publication/Andrew_Birrell,Andrew,Birrell
http://www.gra.fo/publication/John_L__Pfaltz,John L.,Pfaltz
http://www.gra.fo/publication/Vineet_Singh,Vineet,Singh
http://www.gra.fo/publication/Thomas_Merrow,Thomas,Merrow
http://www.gra.fo/publication/Jacob_Ziv,Jacob,Ziv
http://www.gra.fo/publication/Seung_Jin_Lim,Seung Jin,Lim
http://www.gra.fo/publication/Jane_W__S__Liu,Jane W.-S.,Liu
http://www.gra.fo/publication/Gul_Agha,Gul,Agha
http://www.gra.fo/publication/Vincent_Stone,Vincent,Stone
http://www.gra.fo/publication/Jan_Aikins,Jan,Aikins
http://www.gra.fo/publication/Uwe_Scholz,Uwe,Scholz
http://www.gra.fo/publication/Anoop_Gupta,Anoop,Gupta
http://www.gra.fo/publication/Michael_Lesk,Michael,Lesk
http://www.gra.fo/publication/K__Mediratta,K.,Mediratta
http://www.gra.fo/publication/Shengrui_Wang,Shengrui,Wang
http://www.gra.fo/publication/Alexander_J__Pasik,Alexander J.,Pasik
http://www.gra.fo/publication/Icel_Wolf,Icel,Wolf
http://www.gra.fo/publication/Peter_L__Stanchev,Peter L.,Stanchev
http://www.gra.fo/publication/Jay_Nagarajarao,Jay,Nagarajarao
http://www.gra.fo/publication/Philip_W__Trinder,Philip W.,Trinder
http://www.gra.fo/publication/Sam_Yuan_Sung,Sam Yuan,Sung
http://www.gra.fo/publication/Michael_P__Mariani,Michael P.,Mariani
http://www.gra.fo/publication/Pascal_Schweitzer,Pascal,Schweitzer
http://www.gra.fo/publication/Steven_P__Levitan,Steven P.,Levitan
http://www.gra.fo/publication/Asif_Ghias,Asif,Ghias
http://www.gra.fo/publication/Marina_Russo,Marina,Russo
http://www.gra.fo/publication/James_R__Slagle,James R.,Slagle
http://www.gra.fo/publication/Maria_Esther_Vidal,Maria-Esther,Vidal
http://www.gra.fo/publication/Matthew_L__Ginsberg,Matthew L.,Ginsberg
http://www.gra.fo/publication/Hon_Fung_Li,Hon Fung,Li
